# COLUMNS.txt
#
# This comma-separated data file maps columns from this dataset to 
# standardized column names in the main database. Entries below include:
# 	Database: name of the standardized database column
#	Dataset: name of the column in this dataset
#	Computation: optional R-parseable computation to change units, etc.
#	Notes: optional; generally to explain the computation
#
Database,		Dataset,	Computation,				Notes
CSR_CDRY,		Cdry,
CSR_COMMENTS,	Comments,
CSR_ERROR,		Error,
CSR_FLUX,  		Flux,
CSR_LABEL,		Label,
CSR_PORT,		Port,
CSR_R2,			R2,
CSR_RECORD,		Record,
CSR_RH,			RH,
CSR_SM5,		V4
CSR_T5,			V3
CSR_TCHAMBER,	Tcham
CSR_TIMESTAMP_BEGIN,	Timestamp_begin
CSR_TIMESTAMP_END,		Timestamp_end
